Reporting Country/ Territory/Area†,Total confirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Martinique,175,5,14,0,Clusters of cases,0
Guadeloupe,149,0,13,1,Clusters of cases,2
Bermuda,109,10,5,0,Clusters of cases,0
French Guiana,109,0,1,0,Clusters of cases,2
Aruba,100,0,2,0,Clusters of cases,4
Sint Maarten,74,1,13,1,Clusters of cases,0
Cayman Islands,70,0,1,0,Clusters of cases,1
United States Virgin Islands,55,0,3,0,Clusters of cases,1
Saint Martin,38,0,3,0,Sporadic cases,4
Curaçao,14,0,1,0,Sporadic cases,18
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,1
Montserrat,11,0,1,0,Sporadic cases,13
Turks and Caicos Islands,11,0,1,0,Sporadic cases,10
British Virgin Islands,6,0,1,0,Sporadic cases,1
Saint Barthélemy,6,0,0,0,Sporadic cases,27
"Bonaire, Sint Eustatius and Saba",5,0,0,0,Sporadic cases,9
Anguilla,3,0,0,0,Sporadic cases,23
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,19
African Region,,,,,,
South Africa,4546,185,87,1,Community transmission,0
Algeria,3382,126,425,6,Community transmission,0
Cameroon,1621,103,56,3,Clusters of cases,0
Ghana,1550,271,11,1,Clusters of cases,0
Nigeria,1273,91,40,5,Community transmission,0
Côte d’Ivoire,1150,39,14,0,Clusters of cases,0
Guinea,1094,98,7,0,Community transmission,0
Niger,696,12,29,2,Clusters of cases,0
Senegal,671,57,9,2,Clusters of cases,0
Burkina Faso,632,3,42,1,Community transmission,0
Democratic Republic of the Congo,459,17,28,0,Clusters of cases,0
Mali,389,19,23,2,Clusters of cases,0
Kenya,355,12,14,0,Clusters of cases,0
Mauritius,332,1,9,0,Community transmission,0
United Republic of Tanzania,300,0,10,0,Clusters of cases,2
Equatorial Guinea,258,0,1,0,Clusters of cases,1
Congo,200,0,8,0,Clusters of cases,2
Rwanda,191,8,0,0,Clusters of cases,0
Gabon,176,0,3,0,Clusters of cases,1
Madagascar,128,4,0,0,Clusters of cases,0
Liberia,124,4,12,1,Clusters of cases,0
Ethiopia,123,1,3,0,Clusters of cases,0
Cabo Verde,106,16,1,0,Sporadic cases,0
Togo,98,2,6,0,Clusters of cases,0
Sierra Leone,93,7,4,1,Clusters of cases,0
Zambia,88,4,3,0,Sporadic cases,0
Mozambique,76,6,0,0,Sporadic cases,0
Uganda,75,0,0,0,Sporadic cases,2
Benin,64,6,1,0,Sporadic cases,0
Eswatini,59,3,1,0,Sporadic cases,0
Guinea-Bissau,53,1,1,1,Sporadic cases,0
Chad,46,0,0,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,8
Malawi,34,1,3,0,Sporadic cases,0
Zimbabwe,31,0,4,0,Sporadic cases,1
Angola,26,1,2,0,Sporadic cases,0
Botswana,22,0,1,0,Sporadic cases,4
Central African Republic,19,0,0,0,Sporadic cases,2
Namibia,16,0,0,0,Sporadic cases,21
Burundi,15,3,1,0,Sporadic cases,0
Seychelles,11,0,0,0,Sporadic cases,20
Gambia,10,0,1,0,Sporadic cases,6
São Tomé and Príncipe,8,0,0,0,Sporadic cases,3
Mauritania,7,0,1,0,Sporadic cases,16
South Sudan,6,1,0,0,Sporadic cases,0
Territories**,,,,,,
Réunion,417,5,0,0,Clusters of cases,0
Mayotte,401,47,4,0,Clusters of cases,0
Subtotal for all Regions,2877484,85530,198655,4982,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,42
Grand total,2878196,85530,198668,4982,,
