Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Kyrgyzstan,590,22,7,0,Pending,0
San Marino,462,1,39,0,Community transmission,0
Malta,431,4,3,0,Pending,0
Georgia,408,9,4,0,Clusters of cases,0
Montenegro,312,4,5,0,Clusters of cases,0
Liechtenstein,82,0,1,0,Pending,2
Monaco,68,0,1,0,Sporadic cases,7
Holy See,9,1,0,0,Sporadic cases,0
Territories**,,,,,,
Kosovo[1],572,37,12,0,Community transmission,0
Isle of Man,297,0,4,0,Pending,1
Jersey,249,4,12,0,Pending,0
Guernsey,239,0,9,0,Pending,1
Faroe Islands,185,0,0,0,Pending,1
Gibraltar,133,0,0,0,Pending,3
Greenland,11,0,0,0,Pending,15
South-East Asia Region,,,,,,
India,18601,1336,590,47,Clusters of cases,0
Indonesia,6760,185,590,8,Community transmission,0
Bangladesh,2948,492,101,10,Pending,0
Thailand,2811,19,48,1,Pending,0
Sri Lanka,304,33,7,0,Clusters of cases,0
Myanmar,119,8,5,0,Clusters of cases,0
Maldives,67,16,0,0,Sporadic cases,0
Nepal,31,0,0,0,Sporadic cases,2
Timor-Leste,23,4,0,0,Clusters of cases,0
Bhutan,6,1,0,0,Sporadic cases,0
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),83505,1294,5209,91,Community transmission,0
Saudi Arabia,10484,1122,103,6,Clusters of cases,0
Pakistan,9216,798,192,16,Clusters of cases,0
United Arab Emirates,7265,484,43,2,Pending,0
Qatar,6015,567,9,1,Pending,0
Egypt,3333,189,250,11,Clusters of cases,0
Morocco,3046,191,143,2,Clusters of cases,0
Kuwait,1995,80,9,2,Clusters of cases,0
Bahrain,1907,26,7,0,Clusters of cases,0
Iraq,1574,35,82,0,Clusters of cases,0
Oman,1508,98,8,1,Clusters of cases,0
Afghanistan,1026,30,36,3,Clusters of cases,0
Tunisia,884,18,38,1,Community transmission,0
Djibouti,846,0,2,0,Clusters of cases,1
Lebanon,677,4,21,0,Clusters of cases,0
Jordan,425,8,7,0,Clusters of cases,0
Somalia,237,73,8,1,Sporadic cases,0
Sudan,107,15,12,0,Sporadic cases,0
Libya,51,0,1,0,Clusters of cases,1
Syrian Arab Republic,39,0,3,0,Community transmission,1
Yemen,1,0,0,0,Pending,10
Territories**,,,,,,
occupied Palestinian territory,329,5,2,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,751273,27668,35884,1681,Community transmission,0
Brazil,38654,2055,2462,115,Community transmission,0
Canada,35383,1474,1611,105,Community transmission,0
Peru,15628,1208,400,52,Community transmission,0
Chile,10507,0,139,6,Community transmission,1
Ecuador,10128,660,507,33,Community transmission,0
Mexico,8261,764,686,36,Community transmission,0
Dominican Republic,4964,284,235,9,Community transmission,0
Panama,4467,194,126,6,Community transmission,0
Colombia,3792,171,179,13,Community transmission,0
Argentina,2960,121,136,4,Community transmission,0
Cuba,1087,52,36,2,Clusters of cases,0
Costa Rica,660,5,5,1,Clusters of cases,0
Bolivia (Plurinational State of),564,44,33,1,Clusters of cases,0
Uruguay,528,11,10,1,Clusters of cases,0
Honduras,477,5,46,0,Clusters of cases,0
Guatemala,289,32,7,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),256,28,9,0,Clusters of cases,0
El Salvador,218,17,7,0,Clusters of cases,0
Paraguay,208,2,8,0,Community transmission,0
Jamaica,196,23,5,0,Clusters of cases,0
Trinidad and Tobago,114,0,8,0,Sporadic cases,5
Barbados,75,0,5,0,Clusters of cases,4
Guyana,65,2,7,0,Clusters of cases,0
Bahamas,60,2,9,0,Clusters of cases,0
Haiti,47,3,3,0,Clusters of cases,0
Antigua and Barbuda,23,0,3,0,Clusters of cases,7
Belize,18,0,2,0,Sporadic cases,6
Dominica,16,0,0,0,Clusters of cases,10
Saint Kitts and Nevis,15,1,0,0,Sporadic cases,0
Saint Lucia,15,0,0,0,Sporadic cases,9
Grenada,13,0,0,0,Clusters of cases,9
Saint Vincent and the Grenadines,12,0,0,0,Sporadic cases,10
Suriname,10,0,1,0,Sporadic cases,17
Nicaragua,9,0,2,1,Pending,8
Territories**,,,,,,
Puerto Rico,1252,39,63,1,Clusters of cases,0
Martinique,163,0,14,2,Clusters of cases,2
Guadeloupe,148,0,11,0,Clusters of cases,1
Aruba,97,0,2,0,Clusters of cases,1
French Guiana,97,1,1,1,Clusters of cases,0
Bermuda,86,0,5,0,Clusters of cases,1
Sint Maarten,67,3,10,1,Clusters of cases,0
Cayman Islands,61,0,1,0,Clusters of cases,3
United States Virgin Islands,53,0,3,0,Clusters of cases,2
Saint Martin,37,0,2,0,Sporadic cases,2
Curaçao,14,0,1,0,Sporadic cases,12
Falkland Islands (Malvinas),11,0,0,0,Clusters of cases,6
Montserrat,11,0,0,0,Sporadic cases,7
Turks and Caicos Islands,11,0,1,0,Sporadic cases,4
Saint Barthélemy,6,0,0,0,Sporadic cases,21
"Bonaire, Sint Eustatius and Saba",5,0,0,0,Sporadic cases,3
British Virgin Islands,4,0,1,0,Sporadic cases,1
Anguilla,3,0,0,0,Sporadic cases,17
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,13
African Region,,,,,,
South Africa,3300,142,58,4,Community transmission,0
Algeria,2718,89,384,9,Community transmission,0
Cameroon,1163,147,42,21,Clusters of cases,0
Ghana,1042,0,9,0,Clusters of cases,1
Côte d’Ivoire,879,32,10,1,Clusters of cases,0
Niger,655,7,20,0,Clusters of cases,0
Guinea,622,145,5,2,Community transmission,0
Burkina Faso,576,11,36,0,Community transmission,0
Nigeria,541,0,19,0,Community transmission,1
Senegal,377,10,5,2,Clusters of cases,0
Democratic Republic of the Congo,350,18,25,0,Clusters of cases,0
Mauritius,328,0,9,0,Community transmission,1
Kenya,281,11,14,0,Clusters of cases,0
United Republic of Tanzania,255,84,10,3,Clusters of cases,0
Mali,246,22,14,0,Clusters of cases,0
Congo,160,17,6,0,Clusters of cases,0
Rwanda,147,0,0,0,Clusters of cases,1
Madagascar,121,0,0,0,Clusters of cases,1
Gabon,120,11,1,0,Clusters of cases,0
Ethiopia,111,3,3,0,Clusters of cases,0
Liberia,99,8,8,0,Clusters of cases,0
Togo,84,1,5,0,Clusters of cases,0
Equatorial Guinea,79,0,0,0,Clusters of cases,2
Zambia,65,4,3,0,Sporadic cases,0
Cabo Verde,55,0,1,0,Sporadic cases,4
Uganda,55,0,0,0,Sporadic cases,5
Benin,54,17,1,0,Sporadic cases,0
Guinea-Bissau,50,0,0,0,Sporadic cases,3
Sierra Leone,43,8,0,0,Clusters of cases,0
Eritrea,39,0,0,0,Sporadic cases,2
Mozambique,35,0,0,0,Sporadic cases,1
Chad,33,0,0,0,Sporadic cases,3
Zimbabwe,25,0,3,0,Sporadic cases,2
Angola,24,5,2,0,Sporadic cases,0
Eswatini,24,2,1,0,Sporadic cases,0
Botswana,20,0,1,0,Sporadic cases,1
Malawi,17,0,2,0,Sporadic cases,3
Namibia,16,0,0,0,Sporadic cases,15
Central African Republic,12,0,0,0,Sporadic cases,4
Seychelles,11,0,0,0,Sporadic cases,14
Gambia,10,1,1,0,Sporadic cases,0
Mauritania,7,0,1,0,Sporadic cases,10
Burundi,6,0,1,0,Sporadic cases,1
São Tomé and Príncipe,4,0,0,0,Sporadic cases,14
South Sudan,4,0,0,0,Sporadic cases,9
Territories**,,,,,,
Réunion,408,0,0,0,Clusters of cases,1
Mayotte,284,0,4,0,Clusters of cases,1
Subtotal for all Regions,2 396504,83006,162943,5109,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,36
Grand total,2 397216,83006,162956,5109,,
