Reporting Country/ Territory/Area†,Total confirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Bosnia and Herzegovina,1564,48,60,2,Community transmission,0
Lithuania,1449,0,41,0,Community transmission,1
Slovenia,1407,0,83,1,Community transmission,1
North Macedonia,1399,13,65,4,Clusters of cases,0
Slovakia,1381,2,18,0,Clusters of cases,0
Bulgaria,1363,63,58,2,Pending,0
Cyprus,822,5,20,3,Clusters of cases,0
Latvia,818,6,13,1,Community transmission,0
Andorra,748,8,40,0,Community transmission,0
Albania,736,10,28,0,Clusters of cases,0
Kyrgyzstan,708,13,8,0,Pending,0
San Marino,538,0,41,0,Community transmission,1
Georgia,511,15,6,0,Community transmission,0
Malta,450,2,4,0,Pending,0
Montenegro,321,0,7,0,Clusters of cases,1
Liechtenstein,83,0,1,0,Pending,1
Monaco,68,0,1,0,Sporadic cases,14
Holy See,9,0,0,0,Sporadic cases,7
Territories**,,,,,,
Kosovo[1],780,17,22,1,Community transmission,0
Isle of Man,308,0,18,0,Pending,1
Jersey,281,1,19,0,Pending,0
Guernsey,247,2,13,1,Community transmission,0
Faroe Islands,187,0,0,0,Pending,4
Gibraltar,141,0,0,0,Clusters of cases,1
Greenland,11,0,0,0,Pending,22
South-East Asia Region,,,,,,
India,29435,1543,934,62,Clusters of cases,0
Indonesia,9096,214,765,22,Community transmission,0
Bangladesh,5913,497,152,7,Pending,0
Thailand,2938,7,54,2,Pending,0
Sri Lanka,523,0,7,0,Clusters of cases,1
Maldives,214,26,0,0,Clusters of cases,0
Myanmar,146,0,5,0,Clusters of cases,1
Nepal,52,1,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,4
Bhutan,7,0,0,0,Sporadic cases,5
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),91472,991,5806,96,Community transmission,0
Saudi Arabia,18811,1289,144,5,Clusters of cases,0
Pakistan,13915,587,292,11,Clusters of cases,0
Qatar,11244,957,10,0,Pending,0
United Arab Emirates,10839,490,82,6,Pending,0
Egypt,4782,248,337,20,Clusters of cases,0
Morocco,4120,55,162,1,Clusters of cases,0
Kuwait,3288,213,22,2,Clusters of cases,0
Bahrain,2723,76,8,0,Clusters of cases,0
Oman,2131,82,10,0,Clusters of cases,0
Iraq,1847,27,88,1,Clusters of cases,0
Afghanistan,1703,172,60,10,Clusters of cases,0
Djibouti,1035,12,2,0,Clusters of cases,0
Tunisia,967,18,39,1,Community transmission,0
Lebanon,710,3,24,0,Clusters of cases,0
Somalia,480,44,26,3,Sporadic cases,0
Jordan,449,2,7,0,Clusters of cases,0
Sudan,275,38,22,1,Sporadic cases,0
Libya,61,0,2,0,Clusters of cases,1
Syrian Arab Republic,43,1,3,0,Community transmission,0
Yemen,1,0,0,0,Pending,17
Territories**,,,,,,
occupied Palestinian territory,342,0,2,0,Clusters of cases,1
Region of the Americas,,,,,,
United States of America,960916,29218,49170,1190,Community transmission,0
Brazil,61888,3379,4205,189,Community transmission,0
Canada,47316,1538,2617,128,Community transmission,0
Peru,27517,2186,728,28,Community transmission,0
Ecuador,23240,521,663,87,Community transmission,0
Mexico,14677,835,1351,46,Community transmission,0
Chile,13813,482,198,9,Community transmission,0
Dominican Republic,6293,158,282,4,Community transmission,0
Panama,5779,241,165,6,Community transmission,0
Colombia,5379,237,244,11,Community transmission,0
Argentina,3892,54,192,13,Community transmission,0
Cuba,1389,20,56,2,Clusters of cases,0
Bolivia (Plurinational State of),950,84,50,4,Clusters of cases,0
Costa Rica,695,2,6,0,Clusters of cases,0
Honduras,661,34,61,2,Clusters of cases,0
Uruguay,606,10,15,1,Clusters of cases,0
Guatemala,500,27,15,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),325,2,10,0,Clusters of cases,0
El Salvador,323,25,8,0,Clusters of cases,0
Jamaica,305,0,7,0,Clusters of cases,1
Paraguay,228,0,9,0,Community transmission,1
Trinidad and Tobago,116,1,8,0,Sporadic cases,0
Bahamas,80,2,11,0,Clusters of cases,0
Barbados,79,0,6,0,Clusters of cases,1
Guyana,74,0,8,0,Clusters of cases,1
Haiti,74,2,6,0,Clusters of cases,0
Antigua and Barbuda,24,0,3,0,Clusters of cases,5
Belize,18,0,2,0,Sporadic cases,13
Grenada,18,0,0,0,Clusters of cases,1
Dominica,16,0,0,0,Clusters of cases,17
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,7
Saint Lucia,15,0,0,0,Sporadic cases,16
Saint Vincent and the Grenadines,15,1,0,0,Sporadic cases,0
Nicaragua,13,0,3,0,Pending,1
Suriname,10,0,1,0,Sporadic cases,24
Territories**,,,,,,
Puerto Rico,1389,18,53,0,Clusters of cases,0
Martinique,175,0,14,0,Clusters of cases,1
Guadeloupe,149,0,10,0,Clusters of cases,1
French Guiana,111,2,1,0,Clusters of cases,0
Bermuda,109,0,6,1,Clusters of cases,1
Aruba,100,0,2,0,Clusters of cases,5
Sint Maarten,74,0,13,0,Clusters of cases,1
Cayman Islands,70,0,1,0,Clusters of cases,1
United States Virgin Islands,59,4,4,1,Clusters of cases,0
Saint Martin,38,0,3,0,Sporadic cases,5
Curaçao,16,2,1,0,Sporadic cases,0
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,1
Turks and Caicos Islands,12,1,1,0,Sporadic cases,0
Montserrat,11,0,1,0,Sporadic cases,14
"Bonaire, Sint Eustatius and Saba",6,1,0,0,Sporadic cases,0
British Virgin Islands,6,0,1,0,Sporadic cases,1
Saint Barthélemy,6,0,0,0,Sporadic cases,28
Anguilla,3,0,0,0,Sporadic cases,24
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,20
African Region,,,,,,
South Africa,4793,247,90,3,Community transmission,0
Algeria,3517,135,432,7,Community transmission,0
Cameroon,1621,0,56,0,Clusters of cases,1
Ghana,1550,0,11,0,Clusters of cases,1
Nigeria,1337,64,40,0,Community transmission,0
Côte d’Ivoire,1164,14,14,0,Clusters of cases,0
Guinea,1163,69,7,0,Community transmission,0
Senegal,735,64,9,0,Clusters of cases,0
Niger,701,5,29,0,Clusters of cases,0
Burkina Faso,632,0,42,0,Community transmission,1
Democratic Republic of the Congo,471,12,30,2,Clusters of cases,0
Mali,408,19,23,0,Clusters of cases,0
Kenya,363,8,14,0,Clusters of cases,0
Mauritius,334,2,9,0,Community transmission,0
United Republic of Tanzania,300,0,10,0,Clusters of cases,1
Equatorial Guinea,258,0,1,0,Clusters of cases,1
Congo,207,7,8,0,Clusters of cases,0
Rwanda,207,16,0,0,Clusters of cases,0
Gabon,176,0,3,0,Clusters of cases,1
Liberia,133,9,16,4,Clusters of cases,0
Madagascar,128,0,0,0,Clusters of cases,1
Ethiopia,124,1,3,0,Clusters of cases,0
Cabo Verde,106,0,1,0,Sporadic cases,1
Sierra Leone,99,6,4,0,Clusters of cases,0
Togo,99,1,6,0,Clusters of cases,0
Zambia,89,1,3,0,Sporadic cases,0
Uganda,79,4,0,0,Sporadic cases,0
Mozambique,76,0,0,0,Sporadic cases,1
Guinea-Bissau,73,20,1,0,Sporadic cases,0
Eswatini,65,6,1,0,Sporadic cases,0
Benin,64,0,1,0,Sporadic cases,1
Chad,46,0,0,0,Sporadic cases,1
Central African Republic,42,23,0,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,9
Malawi,36,2,3,0,Sporadic cases,0
Zimbabwe,31,0,4,0,Sporadic cases,1
Angola,27,1,2,0,Sporadic cases,0
Botswana,22,0,1,0,Sporadic cases,5
Namibia,16,0,0,0,Sporadic cases,22
Burundi,15,0,1,0,Sporadic cases,1
Seychelles,11,0,0,0,Sporadic cases,21
Gambia,10,0,1,0,Sporadic cases,7
São Tomé and Príncipe,8,0,0,0,Sporadic cases,4
Mauritania,7,0,1,0,Sporadic cases,17
South Sudan,6,0,0,0,Sporadic cases,1
Territories**,,,,,,
Mayotte,433,32,4,0,Clusters of cases,0
Réunion,418,1,0,0,Clusters of cases,0
Subtotal for all Regions,2953510,76026,202584,3932,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,43
Grand total,2954222,76026,202597,3932,,
