Reporting Country/ Territory/Area†,Total confirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Eswatini,71,6,1,0,Sporadic cases,0
Benin,64,0,1,0,Sporadic cases,2
Chad,52,6,2,2,Sporadic cases,0
Central African Republic,50,8,0,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,10
Malawi,36,0,3,0,Sporadic cases,1
South Sudan,34,28,0,0,Sporadic cases,0
Zimbabwe,32,1,4,0,Sporadic cases,0
Angola,27,0,2,0,Sporadic cases,1
Botswana,23,1,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,23
Burundi,15,0,1,0,Sporadic cases,2
São Tomé and Príncipe,11,3,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Sporadic cases,22
Gambia,10,0,1,0,Sporadic cases,8
Mauritania,7,0,1,0,Sporadic cases,18
Territories**,,,,,,
Mayotte,460,27,4,0,Clusters of cases,0
Réunion,418,0,0,0,Clusters of cases,1
Subtotal for all Regions,3018240,66276,207960,5376,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,44
Grand total,3018952,66276,207973,5376,,
