Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Guadeloupe,135,1,7,0,Local transmission,0
French Guiana,68,2,0,0,Local transmission,0
Aruba,64,0,0,0,Local transmission,2
United States Virgin Islands,43,1,1,1,Local transmission,0
Cayman Islands,39,4,1,0,Local transmission,0
Bermuda,37,0,0,0,Local transmission,1
Sint Maarten,37,14,6,4,Imported cases only,0
Saint Martin,31,2,2,0,Under investigation,0
Curaçao,13,2,1,0,Imported cases only,0
Montserrat,6,0,0,0,Imported cases only,2
Saint Barthélemy,6,0,0,0,Under investigation,7
Turks and Caicos Islands,5,0,1,0,Local transmission,7
Anguilla,3,0,0,0,Local transmission,3
British Virgin Islands,3,0,0,0,Imported cases only,6
"Bonaire, Sint Eustatius and Saba",2,0,0,0,Imported cases only,3
Falkland Islands (Malvinas),2,0,0,0,Under investigation,1
African Region,,,,,,
South Africa,1686,31,12,1,Local transmission,0
Algeria,1423,172,173,43,Local transmission,0
Cameroon,555,0,9,0,Local transmission,2
Burkina Faso,345,43,17,2,Local transmission,0
Côte d’Ivoire,323,78,3,1,Local transmission,0
Mauritius,244,17,7,0,Local transmission,0
Nigeria,232,24,5,1,Local transmission,0
Senegal,226,4,2,0,Local transmission,0
Ghana,214,9,5,0,Local transmission,0
Niger,184,40,10,2,Local transmission,0
Democratic Republic of the Congo,161,0,18,0,Local transmission,1
Kenya,142,0,4,0,Local transmission,1
Guinea,111,0,0,0,Local transmission,2
Rwanda,104,2,0,0,Local transmission,0
Madagascar,77,0,0,0,Local transmission,1
Uganda,52,4,0,0,Local transmission,0
Congo,45,0,5,0,Local transmission,2
Togo,44,0,3,0,Local transmission,1
Ethiopia,43,0,1,0,Local transmission,1
Mali,39,0,4,0,Local transmission,2
Zambia,39,0,1,0,Local transmission,4
Guinea-Bissau,33,15,0,0,Imported cases only,0
Eritrea,29,0,0,0,Local transmission,1
United Republic of Tanzania,24,2,1,0,Local transmission,0
Benin,23,1,1,1,Local transmission,0
Gabon,21,0,1,0,Imported cases only,3
Angola,16,2,2,0,Imported cases only,0
Equatorial Guinea,16,0,0,0,Local transmission,2
Namibia,16,0,0,0,Local transmission,1
Liberia,14,1,3,0,Local transmission,0
Seychelles,11,1,0,0,Imported cases only,0
Mozambique,10,0,0,0,Local transmission,5
Central African Republic,9,0,0,0,Local transmission,2
Chad,9,0,0,0,Imported cases only,1
Eswatini,9,0,0,0,Imported cases only,10
Zimbabwe,9,0,1,0,Local transmission,3
Cabo Verde,7,2,1,0,Local transmission,0
Botswana,6,2,1,0,Imported cases only,0
Mauritania,6,0,1,0,Imported cases only,3
Sierra Leone,6,0,0,0,Imported cases only,1
Gambia,4,0,1,0,Imported cases only,4
Malawi,4,0,0,0,Local transmission,1
São Tomé and Príncipe,4,4,0,0,Under investigation,0
Burundi,3,0,0,0,Local transmission,3
South Sudan,1,0,0,0,Under investigation,1
Territories**,,,,,,
Réunion,349,5,0,0,Local transmission,0
Mayotte,164,17,2,0,Local transmission,0
Subtotal for all,1 279010,68 766,72 603,5020,,
regions,,,,,,
International conveyance (Diamond Princess),712,0,11,0,Local transmission,22
Grand total,1 279722,68 766,72 614,5020,,
