Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Timor-Leste,19,0,0,0,Sporadic cases,1
Bhutan,5,0,0,0,Sporadic cases,17
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),82211,1343,5118,87,Community transmission,0
Saudi Arabia,9362,1088,97,5,Clusters of cases,0
Pakistan,8418,425,176,17,Clusters of cases,0
United Arab Emirates,6781,479,41,4,Pending,0
Qatar,5448,440,8,0,Pending,0
Egypt,3144,112,239,15,Clusters of cases,0
Morocco,2855,170,141,4,Clusters of cases,0
Kuwait,1915,164,7,1,Clusters of cases,0
Bahrain,1881,108,7,0,Clusters of cases,0
Iraq,1539,26,82,0,Clusters of cases,0
Oman,1410,144,7,1,Clusters of cases,0
Afghanistan,996,63,33,3,Clusters of cases,0
Tunisia,866,0,37,0,Community transmission,1
Djibouti,846,114,2,0,Clusters of cases,0
Lebanon,673,0,21,0,Clusters of cases,1
Jordan,417,4,7,0,Clusters of cases,0
Somalia,164,29,7,0,Sporadic cases,0
Sudan,92,26,12,2,Sporadic cases,0
Libya,51,2,1,0,Clusters of cases,0
Syrian Arab Republic,39,1,3,1,Community transmission,0
Yemen,1,0,0,0,Pending,9
Territories**,,,,,,
occupied Palestinian territory,324,4,2,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,723605,28252,34203,1776,Community transmission,0
Brazil,36599,2917,2347,206,Community transmission,0
Canada,33909,1509,1506,160,Community transmission,0
Peru,14420,931,348,48,Community transmission,0
Chile,10888,1158,133,7,Community transmission,0
Ecuador,9468,446,474,18,Community transmission,0
Mexico,7497,622,650,104,Community transmission,0
Dominican Republic,4680,345,226,9,Community transmission,0
Panama,4273,63,120,5,Community transmission,0
Colombia,3621,182,166,13,Community transmission,0
Argentina,2839,55,132,3,Community transmission,0
Cuba,1035,49,34,2,Clusters of cases,0
Costa Rica,655,6,4,0,Clusters of cases,0
Bolivia (Plurinational State of),520,27,32,1,Clusters of cases,0
Uruguay,517,9,9,0,Clusters of cases,0
Honduras,472,15,46,0,Clusters of cases,0
Guatemala,257,22,7,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),228,24,9,0,Clusters of cases,0
Paraguay,206,4,8,0,Community transmission,0
El Salvador,201,11,7,0,Clusters of cases,0
Jamaica,173,10,5,0,Clusters of cases,0
Trinidad and Tobago,114,0,8,0,Sporadic cases,4
Barbados,75,0,5,0,Clusters of cases,3
Guyana,63,0,7,1,Clusters of cases,1
Bahamas,58,4,9,0,Clusters of cases,0
Haiti,44,0,3,0,Clusters of cases,1
Antigua and Barbuda,23,0,3,1,Clusters of cases,6
Belize,18,0,2,0,Sporadic cases,5
Dominica,16,0,0,0,Clusters of cases,9
Saint Lucia,15,0,0,0,Sporadic cases,8
Saint Kitts and Nevis,14,0,0,0,Sporadic cases,4
Grenada,13,0,0,0,Clusters of cases,8
Saint Vincent and the Grenadines,12,0,0,0,Sporadic cases,9
Suriname,10,0,1,0,Sporadic cases,16
Nicaragua,9,0,1,0,Pending,7
Territories**,,,,,,
Puerto Rico,1213,95,62,2,Clusters of cases,0
Martinique,163,0,12,0,Clusters of cases,1
Guadeloupe,148,3,11,0,Clusters of cases,0
Aruba,97,1,2,0,Clusters of cases,0
French Guiana,96,0,0,0,Clusters of cases,3
Bermuda,86,3,5,0,Clusters of cases,0
Sint Maarten,64,7,9,0,Clusters of cases,0
Cayman Islands,61,0,1,0,Clusters of cases,2
United States Virgin Islands,53,0,3,0,Clusters of cases,1
Saint Martin,37,0,2,0,Sporadic cases,1
Curaçao,14,0,1,0,Sporadic cases,11
Falkland Islands (Malvinas),11,0,0,0,Clusters of cases,5
Montserrat,11,0,0,0,Sporadic cases,6
Turks and Caicos Islands,11,0,1,0,Sporadic cases,3
Saint Barthélemy,6,0,0,0,Sporadic cases,20
"Bonaire, Sint Eustatius and Saba",5,0,0,0,Sporadic cases,2
British Virgin Islands,4,1,1,1,Sporadic cases,0
Anguilla,3,0,0,0,Sporadic cases,16
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,12
African Region,,,,,,
South Africa,3158,124,54,2,Community transmission,0
Algeria,2629,95,375,8,Community transmission,0
Ghana,1042,208,9,0,Clusters of cases,0
Cameroon,1016,0,21,0,Clusters of cases,2
Côte d’Ivoire,847,105,9,3,Clusters of cases,0
Niger,648,9,20,1,Clusters of cases,0
Burkina Faso,565,18,36,4,Clusters of cases,0
Nigeria,541,168,19,8,Clusters of cases,0
Guinea,477,0,3,0,Clusters of cases,1
Senegal,367,17,3,0,Clusters of cases,0
Democratic Republic of the Congo,332,5,25,0,Clusters of cases,0
Mauritius,328,3,9,0,Clusters of cases,0
Kenya,270,8,14,2,Clusters of cases,0
Mali,224,8,14,1,Sporadic cases,0
United Republic of Tanzania,171,23,7,2,Sporadic cases,0
Rwanda,147,3,0,0,Sporadic cases,0
Congo,143,0,6,0,Clusters of cases,2
Madagascar,121,1,0,0,Clusters of cases,0
Gabon,109,1,1,0,Sporadic cases,0
Ethiopia,108,3,3,0,Sporadic cases,0
Liberia,91,10,8,1,Sporadic cases,0
Togo,83,0,5,0,Sporadic cases,2
Equatorial Guinea,79,0,0,0,Sporadic cases,1
Zambia,61,4,3,1,Sporadic cases,0
Cabo Verde,55,0,1,0,Sporadic cases,3
Uganda,55,0,0,0,Sporadic cases,4
Guinea-Bissau,50,0,0,0,Sporadic cases,2
Eritrea,39,0,0,0,Sporadic cases,1
Benin,37,0,1,0,Sporadic cases,3
Mozambique,35,4,0,0,Sporadic cases,0
Sierra Leone,35,5,0,0,Sporadic cases,0
Chad,33,0,0,0,Sporadic cases,2
Zimbabwe,25,0,3,0,Sporadic cases,1
Eswatini,22,0,1,0,Sporadic cases,1
Botswana,20,5,1,0,Sporadic cases,0
Angola,19,0,2,0,Sporadic cases,11
Malawi,17,0,2,0,Sporadic cases,2
Namibia,16,0,0,0,Sporadic cases,14
Central African Republic,12,0,0,0,Sporadic cases,3
Seychelles,11,0,0,0,Sporadic cases,13
Gambia,9,0,1,0,Sporadic cases,8
Mauritania,7,0,1,0,Sporadic cases,9
Burundi,6,1,1,1,Sporadic cases,0
São Tomé and Príncipe,4,0,0,0,Pending,13
South Sudan,4,0,0,0,Pending,8
Territories**,,,,,,
Réunion,408,1,0,0,Clusters of cases,0
Mayotte,284,39,4,0,Clusters of cases,0
Subtotal for all Regions,2 313909,72846,157834,5296,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,35
Grand total,2 314621,72846,157847,5296,,
