Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
San Marino,501,13,40,0,Community transmission,0
Malta,445,1,3,0,Pending,0
Georgia,431,11,5,0,Community transmission,0
Montenegro,316,2,5,0,Clusters of cases,0
Liechtenstein,82,0,1,0,Pending,5
Monaco,68,0,1,0,Sporadic cases,10
Holy See,9,0,0,0,Sporadic cases,3
Territories**,,,,,,
Kosovo[1],669,39,19,1,Community transmission,0
Isle of Man,307,0,16,6,Pending,2
Jersey,255,0,18,4,Pending,1
Guernsey,243,2,10,0,Community transmission,0
Faroe Islands,187,2,0,0,Pending,0
Gibraltar,133,0,0,0,Clusters of cases,6
Greenland,11,0,0,0,Pending,18
South-East Asia Region,,,,,,
India,23077,1684,718,37,Clusters of cases,0
Indonesia,7775,357,647,12,Community transmission,0
Bangladesh,4186,414,127,7,Pending,0
Thailand,2854,15,50,0,Pending,0
Sri Lanka,368,38,7,0,Clusters of cases,0
Myanmar,139,12,5,0,Clusters of cases,0
Maldives,94,9,0,0,Clusters of cases,0
Nepal,48,3,0,0,Sporadic cases,0
Timor-Leste,24,1,0,0,Clusters of cases,0
Bhutan,7,0,0,0,Sporadic cases,1
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),87026,1030,5481,90,Community transmission,0
Saudi Arabia,13930,1158,121,7,Clusters of cases,0
Pakistan,11155,642,237,13,Clusters of cases,0
United Arab Emirates,8756,518,56,4,Pending,0
Qatar,7764,623,10,0,Pending,0
Egypt,3891,232,287,11,Clusters of cases,0
Morocco,3568,122,155,6,Clusters of cases,0
Kuwait,2399,151,14,1,Clusters of cases,0
Bahrain,2217,190,8,1,Clusters of cases,0
Oman,1716,0,8,0,Clusters of cases,1
Iraq,1677,46,83,0,Clusters of cases,0
Afghanistan,1226,50,40,0,Clusters of cases,0
Djibouti,986,12,2,0,Clusters of cases,0
Tunisia,918,9,38,0,Community transmission,0
Lebanon,688,6,22,0,Clusters of cases,0
Jordan,437,2,7,0,Clusters of cases,0
Somalia,328,42,16,2,Sporadic cases,0
Sudan,174,12,16,3,Sporadic cases,0
Libya,60,0,2,1,Clusters of cases,1
Syrian Arab Republic,42,0,3,0,Community transmission,2
Yemen,1,0,0,0,Pending,13
Territories**,,,,,,
occupied Palestinian territory,336,0,2,0,Clusters of cases,1
Region of the Americas,,,,,,
United States of America,830053,29127,42311,2238,Community transmission,0
Brazil,45757,2678,2906,165,Community transmission,0
Canada,40813,1890,2028,157,Community transmission,0
Peru,19250,1413,530,46,Community transmission,0
Chile,11812,516,168,8,Community transmission,0
Ecuador,11183,333,560,23,Community transmission,0
Mexico,10544,1043,970,113,Community transmission,0
Dominican Republic,5543,243,265,5,Community transmission,0
Panama,4992,171,144,3,Community transmission,0
Colombia,4356,207,206,10,Community transmission,0
Argentina,3340,143,159,7,Community transmission,0
Cuba,1235,46,43,3,Clusters of cases,0
Costa Rica,681,12,6,0,Clusters of cases,0
Bolivia (Plurinational State of),672,63,40,3,Clusters of cases,0
Uruguay,549,6,12,0,Clusters of cases,0
Honduras,519,9,47,1,Clusters of cases,0
Guatemala,342,26,10,2,Clusters of cases,0
Venezuela (Bolivarian Republic of),298,10,10,0,Clusters of cases,0
El Salvador,250,13,8,1,Clusters of cases,0
Jamaica,243,10,6,0,Clusters of cases,0
Paraguay,213,0,9,0,Community transmission,1
Trinidad and Tobago,115,0,8,0,Sporadic cases,1
Barbados,76,1,6,1,Clusters of cases,0
Bahamas,70,5,9,0,Clusters of cases,0
Guyana,67,0,7,0,Clusters of cases,1
Haiti,62,4,4,0,Clusters of cases,0
Antigua and Barbuda,24,0,3,0,Clusters of cases,1
Belize,18,0,2,0,Sporadic cases,9
Dominica,16,0,0,0,Clusters of cases,13
Grenada,15,1,0,0,Clusters of cases,0
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,3
Saint Lucia,15,0,0,0,Sporadic cases,12
Saint Vincent and the Grenadines,13,0,0,0,Sporadic cases,1
Nicaragua,10,0,2,0,Pending,2
Suriname,10,0,1,0,Sporadic cases,20
Territories**,,,,,,
Puerto Rico,1416,118,48,0,Clusters of cases,0
Martinique,170,6,14,0,Clusters of cases,0
Guadeloupe,148,0,12,0,Clusters of cases,4
French Guiana,107,10,1,0,Clusters of cases,0
Aruba,100,0,2,0,Clusters of cases,1
Bermuda,99,1,5,0,Clusters of cases,0
Sint Maarten,73,2,12,1,Clusters of cases,0
Cayman Islands,66,0,1,0,Clusters of cases,2
United States Virgin Islands,54,0,3,0,Clusters of cases,2
Saint Martin,38,0,2,0,Sporadic cases,1
Curaçao,14,0,1,0,Sporadic cases,15
Falkland Islands (Malvinas),12,0,0,0,Clusters of cases,1
Montserrat,11,0,0,0,Sporadic cases,10
Turks and Caicos Islands,11,0,1,0,Sporadic cases,7
Saint Barthélemy,6,0,0,0,Sporadic cases,24
"Bonaire, Sint Eustatius and Saba",5,0,0,0,Sporadic cases,6
British Virgin Islands,5,1,1,0,Sporadic cases,0
Anguilla,3,0,0,0,Sporadic cases,20
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,16
African Region,,,,,,
South Africa,3953,318,75,10,Community transmission,0
Algeria,3007,97,407,5,Community transmission,0
Cameroon,1401,238,49,6,Clusters of cases,0
Ghana,1154,0,9,0,Clusters of cases,1
Côte d’Ivoire,1004,52,14,0,Clusters of cases,0
Nigeria,981,440,31,12,Community transmission,0
Guinea,862,101,6,0,Community transmission,0
Niger,671,9,24,2,Clusters of cases,0
Burkina Faso,600,0,38,0,Community transmission,1
Senegal,479,37,6,0,Clusters of cases,0
Democratic Republic of the Congo,394,35,25,0,Clusters of cases,0
Mauritius,331,2,9,0,Community transmission,0
Kenya,320,17,14,0,Clusters of cases,0
Mali,309,16,21,4,Clusters of cases,0
United Republic of Tanzania,285,0,10,0,Clusters of cases,1
Congo,186,0,6,0,Clusters of cases,1
Gabon,166,0,2,1,Clusters of cases,1
Rwanda,154,1,0,0,Clusters of cases,0
Madagascar,121,0,0,0,Clusters of cases,4
Ethiopia,116,0,3,0,Clusters of cases,1
Liberia,101,0,8,0,Clusters of cases,2
Togo,88,0,6,0,Clusters of cases,1
Equatorial Guinea,84,0,1,0,Clusters of cases,1
Zambia,76,2,3,0,Sporadic cases,0
Cabo Verde,67,0,1,0,Sporadic cases,2
Sierra Leone,64,3,1,0,Clusters of cases,0
Uganda,63,2,0,0,Sporadic cases,0
Benin,58,4,1,0,Sporadic cases,0
Guinea-Bissau,52,2,0,0,Sporadic cases,0
Mozambique,41,0,0,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,5
Chad,34,0,0,0,Sporadic cases,2
Malawi,33,10,3,0,Sporadic cases,0
Eswatini,31,0,1,0,Sporadic cases,1
Zimbabwe,28,0,4,0,Sporadic cases,2
Angola,25,1,2,0,Sporadic cases,0
Botswana,22,0,1,0,Sporadic cases,1
Central African Republic,16,2,0,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,18
Burundi,11,0,1,0,Sporadic cases,2
Seychelles,11,0,0,0,Sporadic cases,17
Gambia,10,0,1,0,Sporadic cases,3
São Tomé and Príncipe,8,1,0,0,Sporadic cases,0
Mauritania,7,0,1,0,Sporadic cases,13
South Sudan,4,0,0,0,Sporadic cases,12
Territories**,,,,,,
Réunion,412,2,0,0,Clusters of cases,0
Mayotte,339,13,4,0,Clusters of cases,0
Subtotal for all Regions,2625609,81529,181925,6260,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,39
Grand total,2626321,81529,181938,6260,,
