Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Lithuania,1149,58,32,3,Pending,0
North Macedonia,1081,107,46,1,Clusters of cases,0
Slovakia,977,114,8,2,Pending,0
Bulgaria,800,53,38,2,Pending,0
Cyprus,735,20,17,0,Pending,0
Andorra,694,21,34,1,Community transmission,0
Latvia,675,9,5,0,Pending,0
Albania,518,24,26,1,Clusters of cases,0
Kyrgyzstan,489,23,5,0,Pending,0
San Marino,426,33,38,2,Community transmission,0
Malta,412,13,3,0,Pending,0
Georgia,370,34,3,0,Clusters of cases,0
Montenegro,303,15,4,0,Clusters of cases,0
Monaco,93,0,1,1,Sporadic cases,3
Liechtenstein,81,0,1,0,Pending,2
Holy See,8,0,0,0,Sporadic cases,8
Territories**,,,,,,
Kosovo[1],449,52,11,2,Community transmission,0
Isle of Man,258,4,4,2,Pending,0
Guernsey,228,5,8,1,Pending,0
Jersey,219,2,7,1,Pending,0
Faroe Islands,184,0,0,0,Pending,9
Gibraltar,131,2,0,0,Pending,0
Greenland,11,0,0,0,Pending,11
South-East Asia Region,,,,,,
India,13387,1007,437,23,Clusters of cases,0
Indonesia,5516,380,496,27,Community transmission,0
Thailand,2700,28,47,1,Pending,0
Bangladesh,1572,341,60,10,Pending,0
Sri Lanka,238,0,7,0,Clusters of cases,1
Myanmar,85,0,4,0,Clusters of cases,1
Maldives,23,2,0,0,Sporadic cases,0
Timor-Leste,18,12,0,0,Sporadic cases,0
Nepal,16,0,0,0,Sporadic cases,3
Bhutan,5,0,0,0,Sporadic cases,14
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),77995,1606,4869,92,Community transmission,0
Pakistan,7025,520,135,11,Clusters of cases,0
Saudi Arabia,6380,518,83,4,Clusters of cases,0
United Arab Emirates,5825,460,35,2,Pending,0
Qatar,4103,392,7,0,Pending,0
Egypt,2673,168,196,13,Clusters of cases,0
Morocco,2283,259,130,3,Clusters of cases,0
Bahrain,1700,23,7,0,Clusters of cases,0
Kuwait,1524,119,3,0,Clusters of cases,0
Iraq,1434,19,80,1,Clusters of cases,0
Oman,1069,50,5,1,Clusters of cases,0
Afghanistan,845,51,30,1,Clusters of cases,0
Tunisia,822,42,37,2,Community transmission,0
Lebanon,663,5,21,0,Clusters of cases,0
Djibouti,591,156,2,0,Clusters of cases,0
Jordan,402,1,7,0,Clusters of cases,0
Somalia,80,0,5,0,Sporadic cases,1
Libya,49,1,1,0,Clusters of cases,0
Syrian Arab Republic,33,0,2,0,Community transmission,1
Sudan,32,0,5,0,Sporadic cases,2
Yemen,1,0,0,0,Pending,6
Territories**,,,,,,
occupied Palestinian territory,295,2,2,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,632781,28711,28221,2350,Community transmission,0
Canada,28884,1344,1048,94,Community transmission,0
Brazil,28320,3058,1736,204,Community transmission,0
Peru,11475,1172,254,24,Community transmission,0
Chile,8807,534,105,11,Community transmission,0
Ecuador,8225,367,403,15,Community transmission,0
Mexico,5847,448,449,43,Community transmission,0
Dominican Republic,3755,141,196,7,Community transmission,0
Panama,3751,177,103,8,Community transmission,0
Colombia,3105,126,131,4,Community transmission,0
Argentina,2598,121,115,7,Community transmission,0
Cuba,862,48,27,3,Clusters of cases,0
Costa Rica,626,8,4,1,Clusters of cases,0
Uruguay,493,1,9,1,Clusters of cases,0
Bolivia (Plurinational State of),441,44,29,1,Clusters of cases,0
Honduras,426,7,35,4,Clusters of cases,0
Venezuela (Bolivarian Republic of),197,4,9,0,Clusters of cases,0
Guatemala,196,16,5,0,Clusters of cases,0
Paraguay,174,13,8,0,Community transmission,0
El Salvador,164,5,6,0,Clusters of cases,0
Jamaica,125,20,5,0,Clusters of cases,0
Trinidad and Tobago,114,0,8,0,Sporadic cases,1
Barbados,75,2,5,0,Clusters of cases,0
Guyana,55,7,6,0,Clusters of cases,0
Bahamas,53,4,8,0,Clusters of cases,0
Haiti,41,0,3,0,Clusters of cases,1
Antigua and Barbuda,23,0,2,0,Clusters of cases,3
Belize,18,0,2,0,Sporadic cases,2
Dominica,16,0,0,0,Clusters of cases,6
Saint Lucia,15,0,0,0,Sporadic cases,5
Grenada,14,0,0,0,Clusters of cases,5
Saint Kitts and Nevis,14,0,0,0,Sporadic cases,1
Saint Vincent and the Grenadines,12,0,0,0,Sporadic cases,6
Suriname,10,0,1,0,Sporadic cases,13
Nicaragua,9,0,1,0,Pending,4
Territories**,,,,,,
Puerto Rico,1043,69,56,5,Clusters of cases,0
Martinique,159,1,8,0,Clusters of cases,0
Guadeloupe,145,0,8,0,Clusters of cases,2
French Guiana,96,1,0,0,Clusters of cases,0
Aruba,95,2,2,1,Clusters of cases,0
Bermuda,81,24,5,0,Clusters of cases,0
Cayman Islands,60,6,1,0,Clusters of cases,0
Sint Maarten,57,4,9,0,Clusters of cases,0
United States Virgin Islands,51,0,1,0,Clusters of cases,6
Saint Martin,35,0,2,0,Sporadic cases,2
C  uraçao,14,0,1,0,Sporadic cases,8
Falkland Islands (Malvinas),11,0,0,0,Clusters of cases,2
Montserrat,11,0,0,0,Sporadic cases,3
Turks and Caicos Islands,11,1,1,0,Sporadic cases,0
S aint Barthélemy,6,0,0,0,Sporadic cases,17
"Bonaire, Sint Eustatius and Saba",4,0,0,0,Sporadic cases,2
Anguilla,3,0,0,0,Sporadic cases,13
British Virgin Islands,3,0,0,0,Sporadic cases,16
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,9
African Region,,,,,,
South Africa,2605,99,48,14,Community transmission,0
Algeria,2268,108,348,12,Community transmission,0
Cameroon,855,0,17,0,Clusters of cases,2
Côte d’Ivoire,688,34,6,0,Clusters of cases,0
Ghana,641,5,8,0,Clusters of cases,0
Niger,609,25,15,1,Clusters of cases,0
Burkina Faso,543,15,32,4,Clusters of cases,0
Guinea,438,34,1,0,Clusters of cases,0
Nigeria,373,0,11,0,Clusters of cases,1
Senegal,335,21,2,0,Clusters of cases,0
Mauritius,324,0,9,0,Clusters of cases,4
Democratic Republic of the Congo,287,20,23,1,Clusters of cases,0
Kenya,234,9,11,1,Clusters of cases,0
Mali,171,27,13,0,Sporadic cases,0
Rwanda,138,2,0,0,Sporadic cases,0
Congo,117,0,5,0,Clusters of cases,1
Madagascar,117,7,0,0,Clusters of cases,0
Gabon,95,8,1,0,Sporadic cases,0
United Republic of Tanzania,94,6,4,0,Sporadic cases,0
Ethiopia,92,7,3,0,Sporadic cases,0
Togo,81,4,5,2,Sporadic cases,0
Liberia,73,14,6,0,Sporadic cases,0
Cabo Verde,55,45,1,0,Sporadic cases,0
Uganda,55,0,0,0,Sporadic cases,1
Equatorial Guinea,51,0,0,0,Sporadic cases,1
Zambia,48,0,2,0,Sporadic cases,1
Guinea-Bissau,46,3,0,0,Sporadic cases,0
Benin,37,2,1,0,Sporadic cases,0
Eritrea,35,0,0,0,Sporadic cases,1
Mozambique,29,1,0,0,Sporadic cases,0
Chad,27,0,0,0,Sporadic cases,1
Zimbabwe,23,0,3,0,Sporadic cases,1
Angola,19,0,2,0,Sporadic cases,8
Eswatini,16,0,1,1,Sporadic cases,1
Malawi,16,0,2,0,Sporadic cases,3
Namibia,16,0,0,0,Sporadic cases,11
Botswana,15,2,1,0,Sporadic cases,0
Sierra Leone,15,2,0,0,Sporadic cases,0
Central African Republic,12,1,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Sporadic cases,10
Gambia,9,0,1,0,Sporadic cases,5
Mauritania,7,0,1,0,Sporadic cases,6
Burundi,5,0,0,0,Sporadic cases,4
São Tomé and Príncipe,4,0,0,0,Pending,10
South Sudan,4,0,0,0,Pending,5
Territories**,,,,,,
Réunion,394,4,0,0,Clusters of cases,0
Mayotte,233,12,3,0,Clusters of cases,0
Subtotal for all Regions,2073817,82967,139365,8492,,
International conveyance (Diamond Princess),712,0,13,1,Not Applicable††,32
Grand total,2074529,82967,139378,8493,,
